Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Log
2.55E-47,-93.18691964,4.09E-06,-10.77655338,0,0.00038866,0.012758,5,0.2,364,343,-2.378231902
0.0011974,-5.843521492,0.00037459,-6.852887641,0.00255,0.00020063,6.94E-07,15,0.066666667,70,70,-2.43062609
0.00022945,-7.278623876,0.0056211,-4.500357377,4.51E-11,0.0072316,0.00072287,3,0.333333333,180,180,-2.434352853
0.0011222,-5.899859471,0.00052376,-6.561735344,0.0096947,0.00032887,2.68E-06,15,0.066666667,100,100,-2.300153606
1.32E-21,-41.75885214,3.71E-06,-10.86125218,0,5.52E-05,0.00037034,15,0.066666667,300,300,-2.69946973
3.90E-41,-80.81787079,6.57E-08,-14.36486926,0,1.34E-05,0.00084722,17,0.058823529,315,390,-2.308476478
0.017763,-3.500967368,0.0055571,-4.510303576,0.03783,0.0029764,1.03E-05,7,0.142857143,70,70,-1.921325727
1.24E-05,-9.81315663,0.00030323,-7.036455668,2.43E-12,0.00039011,3.90E-05,19,0.052631579,180,180,-2.099130582
0.0010727,-5.939043439,0.00050068,-6.600879513,0.0092675,0.00031438,2.56E-06,17,0.058823529,100,100,-2.211004852
2.45E-21,-41.22166783,6.87E-06,-10.32608653,0,0.00010226,0.00068582,18,0.055555556,300,300,-2.273500998
6.21E-62,-122.4138168,1.76E-05,-9.508974664,0,0.0068224,0.55529,1,1,369,382,-2.061055195
0.00044062,-6.711871588,0.00013785,-7.721186459,0.00093839,7.38E-05,2.55E-07,18,0.055555556,70,70,-2.706416487
1.59E-05,-9.597205751,0.00039069,-6.816335409,3.14E-12,0.00050263,5.02E-05,12,0.083333333,180,180,-2.388212986
0.0018589,-5.461487945,0.00086763,-6.12333088,0.01606,0.00054478,4.43E-06,14,0.071428571,100,100,-2.140873717
1.48E-19,-37.65947657,0.00041305,-6.767994747,0,0.0061509,0.04125,4,0.25,300,300,-1.800711172
0.0014519,-5.67612659,0.00057764,-6.476685481,0.0089075,0.00034423,2.18E-06,17,0.058823529,90,91,-2.148558185
0.042644,-2.740284131,0.013341,-3.749623232,0.090819,0.0071455,2.47E-05,5,0.2,70,70,-1.83321478
