Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.026924,0.008024,0.097973,0.00018131,0.026924,100,50,0.0087836,1,0
0.014726,0.026223,0.32019,0.00059254,0.014726,100,50,0.0096081,2,0
0.001458,0.0032997,0.040289,7.46E-05,0.001458,100,50,0.0038052,8,0
0.0053999,0.0015893,0.019405,3.59E-05,0.0053999,100,50,0.015855,9,0
3.24E-05,0.009652,0.11785,0.0002181,3.24E-05,100,50,3.17E-05,3,0
0.00045359,0.0017056,0.020825,3.85E-05,0.00045359,100,50,0.00044394,3,0
0.048405,0.00081406,0.0099393,1.84E-05,0.048405,100,50,0.015791,1,0
0.03538,0.048841,0.59636,0.0011036,0.03538,100,50,0.011542,1,0
0.0047141,0.0058145,0.070995,0.00013138,0.0047141,100,50,0.0061517,4,0
0.0020047,0.0035468,0.043307,8.01E-05,0.0020047,100,50,0.0052321,8,0
0.0022113,0.0061052,0.074544,0.00013795,0.0022113,100,50,0.0028856,4,0
0.0034991,0.0074658,0.091157,0.0001687,0.0034991,100,50,0.0057078,5,0
0.010813,0.0038375,0.046856,8.67E-05,0.010813,100,50,0.014111,4,0
0.0039268,0.0092334,0.11274,0.00020864,0.0039268,100,50,0.0064054,5,0
0.016524,0.009652,0.11785,0.0002181,0.016524,100,50,0.0053907,1,0
0.0045683,0.0072293,0.08827,0.00016335,0.0045683,100,50,0.0089422,6,0
0.0034575,0.0059972,0.073226,0.00013551,0.0034575,100,50,0.0078957,7,0
0.0044989,0.0066285,0.080934,0.00014978,0.0044989,100,50,0.010274,7,0
0.0024786,0.0091868,0.11217,0.00020759,0.0024786,100,50,0.0032344,4,0
0.0035477,0.0044045,0.053778,9.95E-05,0.0035477,100,50,0.0092593,8,0
0.0035477,0.0022386,0.027333,5.06E-05,0.0035477,100,50,0.0092593,8,0
0.00097199,0.006768,0.082638,0.00015293,0.00097199,100,50,0.0015855,5,0
0.0078245,0.013664,0.16684,0.00030875,0.0078245,100,50,0.0051053,2,0
0.021238,0.019827,0.24209,0.00044802,0.021238,100,50,0.013857,2,0
0.00030779,0.00029072,0.0035497,6.57E-06,0.00030779,100,50,0.00060249,6,0
0.0037227,0.0050469,0.061623,0.00011404,0.0037227,100,50,0.012145,10,0
0.00073871,0.0087682,0.10706,0.00019813,0.00073871,100,50,0.001205,5,0
0.0066338,0.010989,0.13418,0.00024831,0.0066338,100,50,0.0086568,4,0
0.041406,0.024537,0.2996,0.00055444,0.041406,100,50,0.013508,1,0
0.023522,0.020699,0.25274,0.00046773,0.023522,100,50,0.015348,2,0
0.042184,0.04198,0.51258,0.00094859,0.042184,100,50,0.013762,1,0
0.0036158,0.003698,0.045153,8.36E-05,0.0036158,100,50,0.005898,5,0
0.0059939,0.018025,0.22008,0.00040729,0.0059939,100,50,0.0058663,3,0
0.0013413,0.0093962,0.11473,0.00021232,0.0013413,100,50,0.002188,5,0
3.65E-05,0.002602,0.03177,5.88E-05,3.65E-05,100,50,9.51E-05,8,0
0.022113,0.011106,0.1356,0.00025094,0.022113,100,50,0.014428,2,0
0.0079119,0.0044655,0.054524,0.0001009,0.0079119,100,50,0.012906,5,0
0.0049571,0.011106,0.1356,0.00025094,0.0049571,100,50,0.0032344,2,0
0.0032075,0.002874,0.035092,6.49E-05,0.0032075,100,50,0.007325,7,0
0.011891,0.011047,0.13489,0.00024963,0.011891,100,50,0.011637,3,0
0.00033326,0.0079077,0.096553,0.00017868,0.00033326,100,50,0.00076104,7,0
0.0057833,0.0067884,0.082886,0.00015339,0.0057833,100,50,0.015094,8,0
0.012101,0.016978,0.2073,0.00038364,0.012101,100,50,0.0078957,2,0
0.0048502,0.0044771,0.054666,0.00010117,0.0048502,100,50,0.015823,10,0
7.56E-05,0.0038505,0.047014,8.70E-05,7.56E-05,100,50,0.00022197,9,0
0.0057541,0.0018374,0.022434,4.15E-05,0.0057541,100,50,0.0093861,5,0
0.0020736,0.0029201,0.035655,6.60E-05,0.0020736,100,50,0.0060883,9,0
0.0030617,0.0035817,0.043733,8.09E-05,0.0030617,100,50,0.0099886,10,0
0.00057239,0.0019252,0.023507,4.35E-05,0.00057239,100,50,0.0016806,9,0
0.0045899,0.0037083,0.045279,8.38E-05,0.0045899,100,50,0.013477,9,0
0.0015228,0.0022483,0.027451,5.08E-05,0.0015228,100,50,0.0029807,6,0
0.00012636,0.00032561,0.0039757,7.36E-06,0.00012636,100,50,0.00041223,10,0
0.0043739,0.0027263,0.033289,6.16E-05,0.0043739,100,50,0.012842,9,0
0.0049085,0.0034596,0.042242,7.82E-05,0.0049085,100,50,0.0064054,4,0
0.0034505,0.0031863,0.038905,7.20E-05,0.0034505,100,50,0.011257,10,0
0.00077759,0.0027444,0.033509,6.20E-05,0.00077759,100,50,0.0012684,5,0
0.0063665,0.027793,0.33935,0.00062801,0.0063665,100,50,0.004154,2,0
0.0064151,0.00026166,0.0031948,5.91E-06,0.0064151,100,50,0.0083714,4,0
0.0029937,0.0020699,0.025274,4.68E-05,0.0029937,100,50,0.0097666,10,0
0.0060627,0.004012,0.048986,9.07E-05,0.0060627,100,50,0.015823,8,0
0.0001296,0.0086442,0.10555,0.00019532,0.0001296,100,50,0.00012684,3,0
0.0037033,0.00514,0.062759,0.00011614,0.0037033,100,50,0.012081,10,0
0.00243,0.029072,0.35497,0.00065692,0.00243,100,50,0.00079274,1,0
0.0016645,0.0018461,0.022541,4.17E-05,0.0016645,100,50,0.0043442,8,0
