Receptor_measurement1,log Receptor_measurement1,Receptor_measurement1_log,log Receptor_measurement2,Receptor_measurement2,log_log Receptor_measurement3,Receptor_measurement3,Log_receptor4,Receptor_measurement4,Source_Location_X,Log_X,Source location X log,Log y,Source emission rate,Log,Wind speed,Wind spped log,Wind angle,Wind angle log
2.27E-09,-8.64E+00,0.0031253,-2.505108288,0.03816,-1.418391634,7.06E-05,-8.644165504,2.27E-09,15,1.176091259,250,2.397940009,0.0068176,-2.166368483,8,0.903089987,0,
3.28E-08,-7.48E+00,0.04512,-1.345630909,0.55092,-0.258911461,0.0010195,-7.484682621,3.28E-08,15,1.176091259,250,2.397940009,0.012303,-1.909988976,1,0,0,
1.27E-08,-7.90E+00,0.017443,-1.758378819,0.21298,-0.671661177,0.00039415,-7.897429098,1.27E-08,15,1.176091259,250,2.397940009,0.0095129,-2.021687069,2,0.301029996,0,
1.61E-08,-7.79E+00,0.022211,-1.653431888,0.2712,-0.566710315,0.00050188,-7.792473345,1.61E-08,15,1.176091259,250,2.397940009,0.012113,-1.916748283,2,0.301029996,0,
9.48E-09,-8.02E+00,0.013063,-1.883957073,0.1595,-0.797239313,0.00029517,-8.023008455,9.48E-09,15,1.176091259,250,2.397940009,0.010686,-1.97118483,3,0.477121255,0,
1.38E-09,-8.86E+00,0.0018955,-2.722276211,0.023144,-1.635561579,4.28E-05,-8.861318446,1.38E-09,15,1.176091259,250,2.397940009,0.0051687,-2.286618674,10,1,0,
2.95E-09,-8.53E+00,0.0040572,-2.391773583,0.049539,-1.305052764,9.17E-05,-8.530826229,2.95E-09,15,1.176091259,250,2.397940009,0.0099569,-2.001875855,9,0.954242509,0,
5.07E-09,-8.30E+00,0.0069773,-2.156312603,0.085194,-1.06959099,0.00015766,-8.295369107,5.07E-09,15,1.176091259,250,2.397940009,0.013318,-1.875560989,7,0.84509804,0,
4.22E-10,-9.37E+00,0.00058145,-3.235487625,0.0070995,-2.148772236,1.31E-05,-9.374543494,4.22E-10,15,1.176091259,250,2.397940009,0.00015855,-3.799833754,1,0,0,
3.88E-09,-8.41E+00,0.0053493,-2.271703045,0.065315,-1.184987069,0.00012087,-8.410754325,3.88E-09,15,1.176091259,250,2.397940009,0.0058346,-2.233988912,4,0.602059991,0,
7.83E-09,-8.11E+00,0.010786,-1.967139584,0.1317,-0.880414225,0.00024372,-8.10620496,7.83E-09,15,1.176091259,250,2.397940009,0.011764,-1.929444984,4,0.602059991,0,
1.86E-09,-8.73E+00,0.0025584,-2.592031554,0.031238,-1.505316779,5.78E-05,-8.731094559,1.86E-09,15,1.176091259,250,2.397940009,0.0048833,-2.311286595,7,0.84509804,0,
3.99E-09,-8.40E+00,0.0055005,-2.259597831,0.067161,-1.172882846,0.00012429,-8.398657186,3.99E-09,15,1.176091259,250,2.397940009,0.014999,-1.823937695,10,1,0,
2.23E-09,-8.65E+00,0.00307,-2.512861625,0.037485,-1.426142485,6.94E-05,-8.651909416,2.23E-09,15,1.176091259,250,2.397940009,0.0041857,-2.378231902,5,0.698970004,0,
3.21E-10,-9.49E+00,0.0004419,-3.354675998,0.0053956,-2.267960254,9.99E-06,-9.493738566,3.21E-10,15,1.176091259,250,2.397940009,0.001205,-2.919012953,10,1,0,
2.58E-09,-8.59E+00,0.0035533,-2.449368124,0.043386,-1.362650388,8.03E-05,-8.588430796,2.58E-09,15,1.176091259,250,2.397940009,0.0087202,-2.059473554,9,0.954242509,0,
4.35E-09,-8.36E+00,0.0059889,-2.222652939,0.073125,-1.135934121,0.00013532,-8.361710465,4.35E-09,15,1.176091259,250,2.397940009,0.0065322,-2.184940527,4,0.602059991,0,
2.21E-09,-8.65E+00,0.0030494,-2.515785604,0.037233,-1.42907197,6.89E-05,-8.654842,2.21E-09,15,1.176091259,250,2.397940009,0.0074835,-2.125895237,9,0.954242509,0,
3.21E-09,-8.49E+00,0.004419,-2.354675998,0.053956,-1.267960254,9.99E-05,-8.493738566,3.21E-09,15,1.176091259,250,2.397940009,0.0036149,-2.441903712,3,0.477121255,0,
1.61E-08,-7.79E+00,0.022211,-1.653431888,0.2712,-0.566710315,0.00050188,-7.792473345,1.61E-08,15,1.176091259,250,2.397940009,0.0060566,-2.217771108,1,0,0,
2.35E-08,-7.63E+00,0.032328,-1.490421163,0.39473,-0.403699865,0.00073049,-7.629468407,2.35E-08,15,1.176091259,250,2.397940009,0.0088153,-2.054762903,1,0,0,
9.79E-09,-8.01E+00,0.01349,-1.86998805,0.16471,-0.783280033,0.00030481,-8.009057638,9.79E-09,15,1.176091259,250,2.397940009,0.0073567,-2.133316954,2,0.301029996,0,
5.80E-09,-8.24E+00,0.0079852,-2.097714202,0.097499,-1.010999839,0.00018043,-8.236774225,5.80E-09,15,1.176091259,250,2.397940009,0.013064,-1.883923828,6,0.77815125,0,
2.77E-09,-8.56E+00,0.0038143,-2.418585152,0.046573,-1.331865786,8.62E-05,-8.557645677,2.77E-09,15,1.176091259,250,2.397940009,0.0052004,-2.28396325,5,0.698970004,0,
1.20E-08,-7.92E+00,0.016513,-1.782174019,0.20162,-0.69546639,0.00037313,-7.92121704,1.20E-08,15,1.176091259,250,2.397940009,0.013508,-1.869408948,3,0.477121255,0,
3.15E-09,-8.50E+00,0.0043415,-2.362360195,0.053009,-1.275650389,9.81E-05,-8.501413791,3.15E-09,15,1.176091259,250,2.397940009,0.007103,-2.148558185,6,0.77815125,0,
1.74E-08,-7.76E+00,0.024014,-1.619535494,0.29321,-0.532821222,0.00054261,-7.758602958,1.74E-08,15,1.176091259,250,2.397940009,0.013096,-1.882861334,2,0.301029996,0,
1.24E-08,-7.91E+00,0.017017,-1.769117001,0.20778,-0.682396258,0.00038452,-7.90815725,1.24E-08,15,1.176091259,250,2.397940009,0.013921,-1.856329567,3,0.477121255,0,
