Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Emission_rate
4.31E-21,1.21E-05,0,0.0001795,0.0012038,16,0.0625,2.408239965,0.0073884
0.0030984,0.00092751,0.0030636,0.00047274,1.38E-06,10,0.1,2,0.0044394
0.0023231,0.00072676,0.0049474,0.00038926,1.35E-06,15,0.066666667,2.352182518,0.0071981
1.27E-05,0.00031152,2.50E-12,0.00040076,4.01E-05,7,0.142857143,1.69019608,0.0011098
0.0019726,0.00092067,0.017041,0.00057808,4.70E-06,16,0.0625,2.408239965,0.01002
1.37E-20,3.84E-05,0,0.00057211,0.0038368,11,0.090909091,2.08278537,0.01113
0.38547,0.05131,0,0.016635,1.85E-09,2,0.5,0.602059991,0.006881
0.02846,0.0089036,0.060612,0.0047688,1.65E-05,5,0.2,1.397940009,0.0097983
3.12E-05,0.00076322,6.13E-12,0.00098187,9.81E-05,12,0.083333333,2.158362492,0.0079909
0.018821,0.0087846,0.1626,0.0055158,4.49E-05,3,0.333333333,0.954242509,0.0033612
1.68E-20,4.70E-05,0,0.00070035,0.0046968,7,0.142857143,1.69019608,0.0055175
0.033438,0.0030952,0,0.0010448,1.60E-10,8,0.125,1.806179974,0.0056443
0.039236,0.012275,0.083562,0.0065745,2.27E-05,5,0.2,1.397940009,0.013508
0.00013296,0.0032573,2.61E-11,0.0041905,0.00041888,8,0.125,1.806179974,0.015157
0.0039951,0.0018647,0.034514,0.0011708,9.53E-06,8,0.125,1.806179974,0.0050736
1.25E-20,3.50E-05,0,0.00052158,0.0034979,11,0.090909091,2.08278537,0.010147
4.60E-19,7.59E-06,0,0.00014528,0.0017842,20,0.05,2.602059991,0.014365
0.034447,0.010777,0.073362,0.005772,2.00E-05,5,0.2,1.397940009,0.011859
9.67E-05,0.0023691,1.90E-11,0.0030478,0.00030466,9,0.111111111,1.908485019,0.013952
0.0015668,0.00073129,0.013536,0.00045918,3.74E-06,16,0.0625,2.408239965,0.0079592
2.91E-21,8.16E-06,0,0.00012147,0.00081464,17,0.058823529,2.460897843,0.0056443
0.0001531,0.00066068,0.00012737,0.00078314,0.00016276,15,0.066666667,2.352182518,0.011891
0.0095231,0.0029793,0.020281,0.0015957,5.52E-06,9,0.111111111,1.908485019,0.010623
2.43E-05,0.00059411,4.77E-12,0.00076432,7.64E-05,14,0.071428571,2.292256071,0.0084665
0.0013623,0.00063585,0.011769,0.00039924,3.25E-06,20,0.05,2.602059991,0.010813
5.64E-21,1.58E-05,0,0.00023497,0.0015758,16,0.0625,2.408239965,0.0096715
7.01E-08,7.11E-05,6.91E-13,0.00028646,0.0011155,8,0.125,1.806179974,0.0028539
0.0011037,0.0003453,0.0023506,0.00018494,6.40E-07,11,0.090909091,2.08278537,0.0018392
0.00038163,0.0093494,7.51E-11,0.012028,0.0012023,4,0.25,1.204119983,0.010876
0.0018657,0.00087079,0.016118,0.00054677,4.45E-06,20,0.05,2.602059991,0.014808
2.85E-20,7.98E-05,0,0.0011882,0.0079686,9,0.111111111,1.908485019,0.015474
2.39E-07,0.00040192,2.70E-13,0.0017106,0.0069345,7,0.142857143,1.69019608,0.01316
0.017011,0.0053218,0.036229,0.0028504,9.86E-06,7,0.142857143,1.69019608,0.011479
4.93E-06,0.00012073,9.69E-13,0.00015531,1.55E-05,17,0.058823529,2.460897843,0.0025368
0.00011837,5.52E-05,0.0010226,3.47E-05,2.82E-07,9,0.111111111,1.908485019,0.00019026
3.86E-22,1.08E-06,0,1.61E-05,0.00010797,7,0.142857143,1.69019608,0.00012684
0.0016675,0.0065556,0,0.0042294,1.12E-06,5,0.2,1.397940009,0.0048199
0.0095788,0.0029967,0.0204,0.001605,5.55E-06,10,0.1,2,0.013191
0.00073187,0.01793,1.44E-10,0.023066,0.0023057,3,0.333333333,0.954242509,0.011733
0.0018679,0.00087183,0.016137,0.00054742,4.45E-06,15,0.066666667,2.352182518,0.0083397
7.80E-21,2.18E-05,0,0.0003252,0.0021809,15,0.066666667,2.352182518,0.011764
0.00073706,0.0018033,0.00023591,0.0015409,2.84E-05,6,0.166666667,1.556302501,0.0030124
0.002625,0.00082121,0.0055904,0.00043984,1.52E-06,20,0.05,2.602059991,0.01446
9.26E-06,0.00022696,1.82E-12,0.00029199,2.92E-05,14,0.071428571,2.292256071,0.0032344
0.14742,0.068806,1.2736,0.043203,0.00035147,2,0.5,0.602059991,0.011701
1.57E-19,0.00044036,0,0.0065577,0.043978,2,0.5,0.602059991,0.0042174
2.06E-22,2.11E-05,0,0.00042495,0.0042779,12,0.083333333,2.158362492,0.012399
0.0010836,0.00033899,0.0023077,0.00018157,6.28E-07,17,0.058823529,2.460897843,0.0043125
1.21E-05,0.00029613,2.38E-12,0.00038097,3.81E-05,9,0.111111111,1.908485019,0.001744
0.010599,0.004947,0.091568,0.0031062,2.53E-05,7,0.142857143,1.69019608,0.010306
1.25E-19,0.00035097,0,0.0052264,0.03505,4,0.25,1.204119983,0.013445
0.00062516,0.0012107,0,0.00077369,3.67E-07,20,0.05,2.602059991,0.01484
0.019894,0.0062239,0.042369,0.0033335,1.15E-05,5,0.2,1.397940009,0.0068493
0.0062308,0.15264,1.23E-09,0.19637,0.01963,1,1,0,0.011098
0.0041837,0.0019527,0.036144,0.0012261,9.97E-06,12,0.083333333,2.158362492,0.011955
9.46E-22,2.65E-06,0,3.94E-05,0.00026453,5,0.2,1.397940009,0.00015855
3.31E-05,0.00061522,1.53E-07,0.00088759,0.00022854,12,0.083333333,2.158362492,0.0083397
0.0031153,0.0009746,0.0066346,0.000522,1.81E-06,17,0.058823529,2.460897843,0.012399
0.00094945,0.02326,1.87E-10,0.029924,0.0029912,3,0.333333333,0.954242509,0.015221
0.016291,0.0076036,0.14074,0.0047743,3.88E-05,6,0.166666667,1.556302501,0.011637
4.18E-20,0.00011699,0,0.0017421,0.011683,6,0.166666667,1.556302501,0.010084
0.0022705,0.12158,1.62E-08,0.19982,0.062737,1,1,0,0.013128
0.00041118,0.00012864,0.00087569,6.89E-05,2.38E-07,14,0.071428571,2.292256071,0.0011098
3.54E-05,0.00086709,6.96E-12,0.0011155,0.00011151,13,0.076923077,2.227886705,0.010654
0.0012035,0.0005617,0.010397,0.00035269,2.87E-06,9,0.111111111,1.908485019,0.0019343
6.47E-22,1.81E-06,0,2.70E-05,0.00018083,16,0.0625,2.408239965,0.0011098
3.53E-33,2.20E-07,0,1.46E-05,0.00045324,6,0.166666667,1.556302501,0.00025368
0.0061019,0.001909,0.012995,0.0010224,3.54E-06,10,0.1,2,0.0084031
0.00010286,0.0025198,2.02E-11,0.0032417,0.00032405,3,0.333333333,0.954242509,0.0016489
0.0013184,0.00061534,0.01139,0.00038637,3.14E-06,20,0.05,2.602059991,0.010464
2.42E-21,6.79E-06,0,0.00010106,0.00067772,11,0.090909091,2.08278537,0.001966
0.00059604,0.0027708,0.00019963,0.0030355,0.00031201,4,0.25,1.204119983,0.002949
0.010362,0.0032416,0.022067,0.0017362,6.01E-06,8,0.125,1.806179974,0.0091324
0.00011081,0.0027146,2.18E-11,0.0034924,0.0003491,7,0.142857143,1.69019608,0.0096715
0.0026301,0.0012276,0.022722,0.00077078,6.27E-06,12,0.083333333,2.158362492,0.0075152
4.30E-21,1.21E-05,0,0.00017948,0.0012037,17,0.058823529,2.460897843,0.0083397
1.57E-06,0.00084574,9.34E-31,0.0016558,0.00052923,10,0.1,2,0.010528
0.0015818,0.00049487,0.0033689,0.00026506,9.17E-07,19,0.052631579,2.557507202,0.007864
2.00E-05,0.00048953,3.93E-12,0.00062977,6.30E-05,7,0.142857143,1.69019608,0.001744
0.088779,0.041437,0.76698,0.026018,0.00021167,3,0.333333333,0.954242509,0.015855
5.96E-21,1.67E-05,0,0.00024841,0.0016659,17,0.058823529,2.460897843,0.011542
0.001269,0.0027467,9.05E-05,0.0021952,2.14E-05,11,0.090909091,2.08278537,0.014016
0.0011783,0.00036862,0.0025094,0.00019744,6.83E-07,16,0.0625,2.408239965,0.004154
0.00071209,0.017445,1.40E-10,0.022443,0.0022434,3,0.333333333,0.954242509,0.011416
0.055132,0.025732,0.4763,0.016157,0.00013144,2,0.5,0.602059991,0.004376
3.13E-19,0.00087742,0,0.013066,0.087626,2,0.5,0.602059991,0.0084031
3.79E-60,1.71E-08,0,9.00E-06,0.0008391,11,0.090909091,2.08278537,0.0021563
0.0018011,0.00056348,0.0038359,0.0003018,1.04E-06,15,0.066666667,2.352182518,0.0055809
6.32E-06,0.00015482,1.24E-12,0.00019918,1.99E-05,20,0.05,2.602059991,0.0045028
0.64081,0.29909,5.5361,0.1878,0.0015278,1,1,0,0.012716
2.64E-20,7.41E-05,0,0.0011028,0.007396,7,0.142857143,1.69019608,0.0086885
0.0041928,0.00089807,1.55E-05,0.00039465,7.98E-08,18,0.055555556,2.51054501,0.011384
0.071892,0.022491,0.15311,0.012046,4.17E-05,3,0.333333333,0.954242509,0.0089105
0.0085806,0.21021,1.69E-09,0.27044,0.027033,1,1,0,0.015284
4.99E-05,2.33E-05,0.00043143,1.46E-05,1.19E-07,16,0.0625,2.408239965,0.00025368
5.25E-19,0.0014701,0,0.021892,0.14681,2,0.5,0.602059991,0.014079
2.50E-13,3.29E-05,4.68E-162,0.00028963,0.0016787,17,0.058823529,2.460897843,0.013477
0.0073777,0.0023081,0.015712,0.0012362,4.28E-06,7,0.142857143,1.69019608,0.0049784
7.33E-05,0.001795,1.44E-11,0.0023092,0.00023083,11,0.090909091,2.08278537,0.015791
0.0060883,0.0028417,0.052599,0.0017843,1.45E-05,11,0.090909091,2.08278537,0.014618
3.02E-19,0.00084431,0,0.012573,0.084319,2,0.5,0.602059991,0.008086
0.0054704,0.033712,0.00042601,0.037694,0.0035241,2,0.5,0.602059991,0.0089105
0.012565,0.0039309,0.026759,0.0021054,7.29E-06,9,0.111111111,1.908485019,0.014016
2.39E-05,0.00058434,4.69E-12,0.00075175,7.51E-05,16,0.0625,2.408239965,0.010876
0.0024018,0.001121,0.020749,0.00070387,5.73E-06,13,0.076923077,2.227886705,0.0080543
4.09E-21,1.14E-05,0,0.00017045,0.0011431,19,0.052631579,2.557507202,0.0098935
7.83E-45,0.00086986,0,0.018474,0.067365,1,1,0,0.0022197
0.0015059,0.0004711,0.003207,0.00025232,8.73E-07,17,0.058823529,2.460897843,0.0059932
1.62E-05,0.00039694,3.19E-12,0.00051066,5.10E-05,16,0.0625,2.408239965,0.0073884
0.0041948,0.0019579,0.03624,0.0012293,1.00E-05,12,0.083333333,2.158362492,0.011986
