Receptor_measurement1,Receptor_measurement2,Receptor_measurement4,Receptor_measurement5,Wind_speed,Source_Location_X,Source_Location_Y
5.64E-21,1.58E-05,0.00023497,0.0015758,16,300,300
7.01E-08,7.11E-05,0.00028646,0.0011155,8,28,299
0.0011037,0.0003453,0.00018494,6.40E-07,11,70,70
0.00038163,0.0093494,0.012028,0.0012023,4,180,180
0.0018657,0.00087079,0.00054677,4.45E-06,20,100,100
2.85E-20,7.98E-05,0.0011882,0.0079686,9,300,300
2.39E-07,0.00040192,0.0017106,0.0069345,7,42,300
0.017011,0.0053218,0.0028504,9.86E-06,7,70,70
4.93E-06,0.00012073,0.00015531,1.55E-05,17,180,180
0.00011837,5.52E-05,3.47E-05,2.82E-07,9,100,100
3.86E-22,1.08E-06,1.61E-05,0.00010797,7,300,300
0.0016675,0.0065556,0.0042294,1.12E-06,5,326,116
0.0095788,0.0029967,0.001605,5.55E-06,10,70,70
0.00073187,0.01793,0.023066,0.0023057,3,180,180
0.0018679,0.00087183,0.00054742,4.45E-06,15,100,100
7.80E-21,2.18E-05,0.0003252,0.0021809,15,300,300
0.00073706,0.0018033,0.0015409,2.84E-05,6,181,141
0.002625,0.00082121,0.00043984,1.52E-06,20,70,70
9.26E-06,0.00022696,0.00029199,2.92E-05,14,180,180
0.14742,0.068806,0.043203,0.00035147,2,100,100
1.57E-19,0.00044036,0.0065577,0.043978,2,300,300
2.06E-22,2.11E-05,0.00042495,0.0042779,12,299,313
0.0010836,0.00033899,0.00018157,6.28E-07,17,70,70
1.21E-05,0.00029613,0.00038097,3.81E-05,9,180,180
0.010599,0.004947,0.0031062,2.53E-05,7,100,100
1.25E-19,0.00035097,0.0052264,0.03505,4,300,300
0.00062516,0.0012107,0.00077369,3.67E-07,20,300,114
0.019894,0.0062239,0.0033335,1.15E-05,5,70,70
0.0062308,0.15264,0.19637,0.01963,1,180,180
0.0041837,0.0019527,0.0012261,9.97E-06,12,100,100
9.46E-22,2.65E-06,3.94E-05,0.00026453,5,300,300
3.31E-05,0.00061522,0.00088759,0.00022854,12,116,196
0.0031153,0.0009746,0.000522,1.81E-06,17,70,70
0.00094945,0.02326,0.029924,0.0029912,3,180,180
0.016291,0.0076036,0.0047743,3.88E-05,6,100,100
4.18E-20,0.00011699,0.0017421,0.011683,6,300,300
0.0022705,0.12158,0.19982,0.062737,1,141,205
0.00041118,0.00012864,6.89E-05,2.38E-07,14,70,70
3.54E-05,0.00086709,0.0011155,0.00011151,13,180,180
0.0012035,0.0005617,0.00035269,2.87E-06,9,100,100
6.47E-22,1.81E-06,2.70E-05,0.00018083,16,300,300
3.53E-33,2.20E-07,1.46E-05,0.00045324,6,313,353
0.0061019,0.001909,0.0010224,3.54E-06,10,70,70
0.00010286,0.0025198,0.0032417,0.00032405,3,180,180
0.0013184,0.00061534,0.00038637,3.14E-06,20,100,100
2.42E-21,6.79E-06,0.00010106,0.00067772,11,300,300
0.00059604,0.0027708,0.0030355,0.00031201,4,114,169
0.010362,0.0032416,0.0017362,6.01E-06,8,70,70
0.00011081,0.0027146,0.0034924,0.0003491,7,180,180
0.0026301,0.0012276,0.00077078,6.27E-06,12,100,100
4.30E-21,1.21E-05,0.00017948,0.0012037,17,300,300
1.57E-06,0.00084574,0.0016558,0.00052923,10,196,212
0.0015818,0.00049487,0.00026506,9.17E-07,19,70,70
2.00E-05,0.00048953,0.00062977,6.30E-05,7,180,180
0.088779,0.041437,0.026018,0.00021167,3,100,100
5.96E-21,1.67E-05,0.00024841,0.0016659,17,300,300
0.001269,0.0027467,0.0021952,2.14E-05,11,205,134
0.0011783,0.00036862,0.00019744,6.83E-07,16,70,70
0.00071209,0.017445,0.022443,0.0022434,3,180,180
0.055132,0.025732,0.016157,0.00013144,2,100,100
3.13E-19,0.00087742,0.013066,0.087626,2,300,300
3.79E-60,1.71E-08,9.00E-06,0.0008391,11,353,399
0.0018011,0.00056348,0.0003018,1.04E-06,15,70,70
6.32E-06,0.00015482,0.00019918,1.99E-05,20,180,180
0.64081,0.29909,0.1878,0.0015278,1,100,100
2.64E-20,7.41E-05,0.0011028,0.007396,7,300,300
0.0041928,0.00089807,0.00039465,7.98E-08,18,169,48
0.071892,0.022491,0.012046,4.17E-05,3,70,70
0.0085806,0.21021,0.27044,0.027033,1,180,180
4.99E-05,2.33E-05,1.46E-05,1.19E-07,16,100,100
5.25E-19,0.0014701,0.021892,0.14681,2,300,300
2.50E-13,3.29E-05,0.00028963,0.0016787,17,212,302
0.0073777,0.0023081,0.0012362,4.28E-06,7,70,70
7.33E-05,0.001795,0.0023092,0.00023083,11,180,180
0.0060883,0.0028417,0.0017843,1.45E-05,11,100,100
3.02E-19,0.00084431,0.012573,0.084319,2,300,300
0.0054704,0.033712,0.037694,0.0035241,2,134,170
0.012565,0.0039309,0.0021054,7.29E-06,9,70,70
2.39E-05,0.00058434,0.00075175,7.51E-05,16,180,180
0.0024018,0.001121,0.00070387,5.73E-06,13,100,100
4.09E-21,1.14E-05,0.00017045,0.0011431,19,300,300
7.83E-45,0.00086986,0.018474,0.067365,1,399,281
0.0015059,0.0004711,0.00025232,8.73E-07,17,70,70
1.62E-05,0.00039694,0.00051066,5.10E-05,16,180,180
0.0041948,0.0019579,0.0012293,1.00E-05,12,100,100
7.28E-20,0.00020396,0.0030373,0.020369,5,300,300
0.0079702,0.009283,0.0079531,0.00049821,2,48,142
0.016766,0.0052451,0.0028093,9.72E-06,8,70,70
4.33E-05,0.0010606,0.0013645,0.0001364,13,180,180
0.0014986,0.00069945,0.00043918,3.57E-06,15,100,100
5.60E-23,1.57E-07,2.33E-06,1.57E-05,13,300,300
0.0037097,0.0011071,0.00053372,2.65E-08,13,302,84
0.020817,0.0065126,0.0034882,1.21E-05,7,70,70
5.29E-05,0.0012947,0.0016657,0.0001665,8,180,180
0.071201,0.033232,0.020866,0.00016976,3,100,100
7.20E-22,2.02E-06,3.00E-05,0.00020137,17,300,300
0.0043913,0.0040112,0.0028434,2.28E-05,7,170,120
0.0066315,0.0020746,0.0011112,3.84E-06,5,70,70
4.95E-05,0.0012115,0.0015585,0.00015579,3,180,180
0.001981,0.00092462,0.00058056,4.72E-06,11,100,100
4.58E-21,1.28E-05,0.00019106,0.0012813,8,300,300
6.54E-19,1.56E-05,0.00021105,0.0014391,19,281,302
0.0029341,0.00091791,0.00049164,1.70E-06,19,70,70
2.43E-05,0.00059559,0.00076623,7.66E-05,19,180,180
0.0066856,0.0031204,0.0019593,1.59E-05,7,100,100
1.01E-20,2.81E-05,0.0004191,0.0028106,12,300,300
0.0044737,0.0011247,0.00054535,4.10E-07,8,142,62
0.0025559,0.0007996,0.00042827,1.48E-06,20,70,70
4.73E-05,0.0011587,0.0014907,0.00014901,13,180,180
0.0015418,0.00071964,0.00045186,3.68E-06,16,100,100
1.00E-20,2.81E-05,0.0004186,0.0028073,7,300,300
1.80E-10,0.00032971,0.0040456,0.05295,3,84,361
0.00094982,0.00029715,0.00015915,5.51E-07,20,70,70
9.51E-06,0.00023287,0.00029958,2.99E-05,18,180,180
0.64081,0.29909,0.1878,0.0015278,1,100,100
9.68E-21,2.71E-05,0.00040369,0.0027073,8,300,300
6.21E-05,0.00052644,0.00064509,9.44E-05,15,120,180
0.0047811,0.0014957,0.00080113,2.77E-06,12,70,70
0.00014786,0.0036222,0.00466,0.00046582,6,180,180
0.0064978,0.0030328,0.0019043,1.55E-05,11,100,100
2.14E-19,0.00059892,0.0089189,0.059813,3,300,300
0.0025819,0.0012195,0.00063533,6.24E-08,18,302,93
0.0045336,0.0014183,0.00075965,2.63E-06,15,70,70
2.63E-06,6.43E-05,8.28E-05,8.27E-06,20,180,180
0.00047941,0.00022376,0.0001405,1.14E-06,10,100,100
6.11E-20,0.00017107,0.0025475,0.017084,6,300,300
0.010693,0.0041601,0.0024734,1.95E-05,8,62,88
0.0014225,0.00044502,0.00023836,8.25E-07,15,70,70
5.85E-06,0.00014336,0.00018444,1.84E-05,17,180,180
0.0043502,0.0020304,0.0012749,1.04E-05,12,100,100
1.68E-20,4.71E-05,0.00070212,0.0047086,5,300,300
3.38E-21,0.00051555,0.0031803,0.0020357,6,361,245
0.01378,0.0043109,0.0023089,7.99E-06,8,70,70
0.00035604,0.0087225,0.011221,0.0011217,2,180,180
0.00044745,0.00020884,0.00013113,1.07E-06,5,100,100
7.02E-21,1.97E-05,0.00029277,0.0019634,15,300,300
