Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
0.0043049,-4.732073865,0.0020093,-5.393910432,0.037191,0.0012616,1.03E-05,7,0.142857143,1.69019608,100,100,0.0041857,-2.378231902
1.31E-20,-39.76545741,3.68E-05,-8.868304363,0,0.00054766,0.0036728,11,0.090909091,2.08278537,300,300,0.010654,-1.972487308
3.70E-09,-16.86359655,6.40E-05,-8.387640052,0,0.0001057,4.75E-06,20,0.05,2.602059991,302,187,0.0020294,-2.692632344
0.0056286,-4.499199227,0.0017609,-5.508530613,0.011987,0.00094313,3.26E-06,6,0.166666667,1.556302501,70,70,0.0027905,-2.554317973
2.22E-05,-9.307294051,0.00054273,-6.530832343,4.36E-12,0.00069822,6.98E-05,15,0.066666667,2.352182518,180,180,0.0088787,-2.051650618
0.027166,-3.131948607,0.01268,-3.793761493,0.2347,0.0079615,6.48E-05,5,0.2,1.397940009,100,100,0.013477,-1.870406772
1.75E-20,-39.5139239,4.90E-05,-8.61960784,0,0.00072973,0.0048938,10,0.1,2,300,300,0.011733,-1.930590929
1.74E-92,-183.5189015,2.32E-06,-11.26902403,0,0.0019796,0.222,2,0.5,0.602059991,397,388,0.014016,-1.853375911
0.16061,-1.588454836,0.050245,-2.597814299,0.34204,0.026911,9.31E-05,2,0.5,0.602059991,70,70,0.008847,-2.053203973
6.50E-05,-8.374173287,0.0015919,-5.596168435,1.28E-11,0.0020479,0.00020471,10,0.1,2,180,180,0.011574,-1.936516522
0.00033177,-6.958325774,0.00015485,-7.620177581,0.0028662,9.72E-05,7.91E-07,17,0.058823529,2.460897843,100,100,0.0019026,-2.720652508
1.44E-19,-37.68327502,0.00040312,-6.789131309,0,0.006003,0.040258,4,0.25,1.204119983,300,300,0.015443,-1.811268329
0.00052135,-6.565741244,0.016933,-3.542532183,0,0.012204,3.47E-06,5,0.2,1.397940009,349,126,0.012906,-1.889208339
0.002648,-5.154164038,0.00082841,-6.163509334,0.0056394,0.0004437,1.54E-06,20,0.05,2.602059991,70,70,0.014587,-1.836034017
2.72E-05,-9.130862192,0.00066727,-6.351396801,5.36E-12,0.00085844,8.58E-05,10,0.1,2,180,180,0.0048516,-2.314115013
0.0022258,-5.305027724,0.0010389,-5.966852507,0.019229,0.00065231,5.31E-06,14,0.071428571,2.292256071,100,100,0.0086568,-2.062642616
8.09E-21,-40.18410296,2.26E-05,-9.291783122,0,0.00033725,0.0022617,10,0.1,2,300,300,0.0054224,-2.265808449
0.00052582,-6.558325798,0.00012816,-7.784495003,1.53E-08,6.20E-05,1.35E-08,10,0.1,2,231,75,0.00041223,-3.384860406
0.14622,-1.669986441,0.045743,-2.679350712,0.3114,0.0245,8.48E-05,2,0.5,0.602059991,70,70,0.0080543,-2.093972198
2.09E-05,-9.359707428,0.00051285,-6.58001928,4.12E-12,0.00065978,6.60E-05,18,0.055555556,2.51054501,180,180,0.012081,-1.917897116
0.12664,-1.794858196,0.059109,-2.456692776,1.0941,0.037115,0.00030194,2,0.5,0.602059991,100,100,0.010052,-1.99774752
8.54E-21,-40.13708426,2.39E-05,-9.243204198,0,0.00035594,0.002387,13,0.076923077,2.227886705,300,300,0.0096715,-2.014506164
6.22E-09,-16.41241923,0.00052347,-6.562216405,1.11E-51,0.0021772,0.0042938,3,0.333333333,0.954242509,187,265,0.001966,-2.706416487
0.0028603,-5.087176828,0.00089484,-6.096509222,0.0060916,0.00047928,1.66E-06,17,0.058823529,2.460897843,70,70,0.011384,-1.943705113
3.05E-05,-9.031400321,0.00074841,-6.251720836,6.01E-12,0.00096283,9.62E-05,9,0.111111111,1.908485019,180,180,0.0044077,-2.355787972
0.009233,-4.069314329,0.0043094,-4.731166385,0.079766,0.0027059,2.20E-05,3,0.333333333,0.954242509,100,100,0.0016489,-2.782805682
7.84E-21,-40.21136787,2.20E-05,-9.315154638,0,0.00032703,0.0021932,14,0.071428571,2.292256071,300,300,0.010306,-1.986909862
