Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
3.26E-09,0.015586,0.27023,9.20E-05,3.26E-09,5,260,0.01503,5,0
0.36711,9.75E-06,1.53E-13,0.29944,0.36711,37,123,0.0031393,2,0
5.89E-12,0.053165,1.3196,2.41E-06,5.89E-12,18,277,0.0065005,1,0
0.0045548,1.64E-08,6.90E-28,4.73E-07,0.0045548,21,20,0.014206,4,0
0.20368,1.38E-06,1.92E-16,0.045408,0.20368,42,111,0.0049467,9,0
1.08E-15,0.03393,0.96259,8.64E-09,1.08E-15,32,289,0.0092593,3,0
4.91E-07,0.0012488,0.0012581,0.0044548,4.91E-07,32,219,0.005898,5,0
5.94E-06,0.0090383,0.0023353,0.081292,5.94E-06,44,212,0.012684,1,0
0.083478,7.49E-05,2.99E-08,0.50055,0.083478,8,148,0.00983,6,0
0.015639,6.65E-06,4.46E-11,0.098653,0.015639,32,144,0.0024099,9,0
0.044775,1.15E-07,1.17E-21,5.21E-05,0.044775,1,33,0.0041857,1,0
0.16197,1.02E-06,1.03E-15,0.024632,0.16197,29,105,0.0040271,9,0
3.42E-11,0.0031113,0.044919,7.98E-06,3.42E-11,30,255,0.0060883,8,0
2.3236,2.40E-05,1.21E-12,0.43386,2.3236,11,104,0.014967,2,0
0.1873,2.25E-07,1.04E-21,0.00047189,0.1873,25,59,0.0096398,4,0
1.62E-12,0.018964,0.46159,5.07E-07,1.62E-12,12,282,0.012081,6,0
1.84E-05,0.00038951,4.07E-05,0.028363,1.84E-05,33,200,0.0051053,6,0
0.13901,9.09E-08,2.76E-25,0.00017674,0.13901,47,66,0.0057712,5,0
0.44609,1.28E-05,4.11E-13,0.36606,0.44609,34,123,0.0038686,2,0
0.023042,0.0001352,6.40E-09,0.94469,0.023042,41,160,0.015094,6,0
0.0017042,3.18E-05,1.83E-08,0.10403,0.0017042,33,167,0.0035832,10,0
5.88E-11,0.084721,1.9336,1.66E-05,5.88E-11,20,270,0.012652,1,0
0.3704,3.80E-07,4.35E-22,0.00087503,0.3704,31,62,0.011764,3,0
0.065851,7.72E-05,4.74E-08,0.45385,0.065851,7,150,0.014935,10,0
