Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,wind_x,wind_y,source_rate,source_rate_log,wind_speed
2.4866E-08,0.00049865,1.2699E-43,0.0017114,0.0023202,185.97,252.84,0.015157,-1.819386749,10
0.0025897,0.00086681,0.0074901,0.00048095,2.30E-06,63.633,75.835,0.00983,-2.007446482,16
0.000332,0.00025154,9.7314E-06,0.00011254,9.45E-08,-239.21,-87.064,0.014016,-1.853375911,17
0.058938,0.038407,0.25101,0.029255,0.0021044,-70.711,122.47,0.0091958,-2.036410483,2
0.0029924,0.0022409,0.0072005,0.0019618,0.00065621,-398.68,145.11,0.0078006,-2.107871991,6
0.049013,0.016375,0.036307,0.0083757,4.24E-05,-53.836,39.632,0.015189,-1.818470818,4
0.031433,0.013008,0.14498,0.0079732,9.14E-05,38.68,91.125,0.015126,-1.820275904,5
3.48E-07,2.68E-05,1.98E-13,4.63E-05,1.61E-05,146.01,208.52,0.0011098,-2.95475528,19
0.0084603,0.0045729,0.00027994,0.0020014,1.54E-06,-133.72,-46.042,0.00053907,-3.268354837,1
0.00045529,0.0002201,0.00030007,0.00012207,3.16E-06,-424.2,-7.4044,0.0024099,-2.618000978,10
0.00092944,0.00046996,0.0017951,0.00032203,3.07E-05,-320.12,84.879,0.014587,-1.836034017,20
0.0023067,0.00081087,0.0014518,0.00041308,2.38E-06,-94.15,30.591,0.011606,-1.935317434,15
0.000026615,0.0012548,5.7526E-12,0.0018885,0.00037416,163.63,195,0.0093227,-2.030458291,9
0.015353,0.010387,0.066809,0.0080168,0.00060122,-66.393,124.87,0.015601,-1.806847563,5
0.031668,0.018847,0.066111,0.014422,0.002829,-409.81,109.81,0.01503,-1.823041019,3
0.00028082,0.00014719,0.000077198,7.37E-05,5.49E-07,-347.82,-43.436,0.0023148,-2.635486526,11
0.00057815,0.00043255,1.0881E-06,0.00017726,2.58E-08,-73.568,-66.241,0.012525,-1.902222265,14
0.0009167,0.0054698,0.00085154,0.008706,0.0086251,-107.58,230.71,0.01373,-1.862329463,4
0.00053857,0.00035096,0.0022937,0.00026733,1.92E-05,-70.711,122.47,0.0084031,-2.075560468,20
7.93E-15,3.20E-07,1.98E-33,8.51E-06,0.00020248,44.348,421.94,0.0031393,-2.50316718,18
4.71E-19,1.92E-05,0.00E+00,0.00021169,0.00093023,297.56,287.68,0.0090056,-2.045487347,18
0.011055,0.0037511,0.033595,0.0020955,1.06E-05,62.3,76.934,0.0026636,-2.574530994,4
9.28E-07,9.38E-05,1.62E-12,0.00017759,8.91E-05,131.11,218.2,0.0028539,-2.544561249,15
0.0015699,0.0015439,0.0077421,0.0013148,0.00011321,-7.4014,141.23,0.0045662,-2.34044507,7
0.00010789,0.0001974,0.00023247,0.0002548,0.00026061,-359.8,224.83,0.0037418,-2.426919429,11
0.0017096,0.0006765,0.002024,0.00038277,7.40E-06,-183.47,46.078,0.014872,-1.827630623,18
0.00098494,0.00042553,0.000065407,0.00018955,2.10E-07,-96.832,-20.582,0.011035,-1.957227663,17
0.00030636,0.00013246,0.00044967,8.03E-05,3.06E-06,-248.03,57.263,0.0018709,-2.727949425,14
0.0069934,0.002752,0.011977,0.0016148,3.34E-05,-126.01,64.204,0.0081494,-2.088874365,7
0.0020723,0.0014019,0.0047702,0.0011608,0.00031524,-403.5,131.1,0.008308,-2.080503512,8
2.41E-07,7.43E-05,3.97E-93,0.00011552,1.21E-05,232.22,190.41,0.0020294,-2.692632344,18
0.00022914,0.0001304,2.4181E-06,5.50E-05,1.98E-08,-86.583,-47.994,0.0026002,-2.584993246,13
0.00019704,0.00010354,0.00048192,7.32E-05,6.65E-06,-234.32,99.464,0.00072933,-3.137075922,10
0.0088364,0.0050601,0.079778,0.0034128,4.70E-05,88.999,109.91,0.0036149,-2.441903712,4
5.82E-06,4.95E-05,7.84E-10,2.52E-05,4.70E-10,-334.32,-261.2,0.010623,-1.973752819,8
1.7503E-08,0.00012125,5.5828E-30,0.00039756,0.00056774,165.12,253.97,0.0023148,-2.635486526,8
0.00035152,0.00016539,0.0015834,0.00010797,2.38E-06,-1.7277,98.98,0.0033295,-2.477620981,20
0.000016748,0.00021445,5.5281E-06,0.00040044,0.00051176,-70.166,244.7,0.009291,-2.03193754,15
0.0023027,0.002088,0.014799,0.0016615,7.30E-05,50.681,132.03,0.0089105,-2.050097925,9
4.4128E-18,0.00017262,0,0.005501,0.1239,224.83,359.8,0.010179,-1.992294886,2
0.0034114,0.0015315,0.0028084,0.00086158,2.30E-05,-345.67,15.618,0.01132,-1.946153573,9
0.0019431,0.00091379,0.0088214,0.00059619,1.30E-05,-1.55E-15,98.995,0.013255,-1.877620268,17
0.00011651,0.0025018,0.000015485,0.0051135,0.0073186,-44.204,250.69,0.013413,-1.872474075,5
0.0026041,0.0012585,0.022964,0.00079998,7.14E-06,98.24,101.73,0.0053907,-2.268354837,10
0.24578,0.11617,0.23943,0.068745,0.0031047,-423.68,22.204,0.011225,-1.94981365,1
0.0098113,0.0071031,0.032079,0.0058648,0.00094251,-185.81,134.6,0.008308,-2.080503512,4
0.0098327,0.0034568,0.0085264,0.0018157,1.37E-05,-90.436,40.265,0.0075786,-2.120411014,6
3.7059E-06,0.00017962,6.9313E-08,0.00040926,0.00063078,-4.00E-15,254.56,0.015379,-1.813071903,19
0.00025459,0.00011521,0.00069864,7.47E-05,2.73E-06,-109.91,88.999,0.002188,-2.659952682,18
0.0006472,0.00054354,0.0016004,0.00050443,0.00020645,-393.37,158.93,0.0055492,-2.255769622,10
3.31E-06,9.48E-06,8.66E-09,4.54E-06,6.31E-10,-376.04,-214.4,0.0044711,-2.349585617,20
0.00038714,0.00025389,1.6727E-06,0.00010534,2.34E-08,-80.089,-58.188,0.0040906,-2.388212986,11
0.0018327,0.0007653,0.0013379,0.00041321,6.48E-06,-253.94,17.757,0.0075786,-2.120411014,11
0.00063663,0.00034473,0.0023199,0.00024415,1.34E-05,-90.904,108.34,0.007325,-2.135192371,19
0.01001,0.011876,0.024522,0.012896,0.0085011,-378.02,192.61,0.013096,-1.882861334,3
0.00069917,0.00035894,0.00017858,0.00017775,1.13E-06,-318.4,-40.185,0.0036149,-2.441903712,9
0.025782,0.0086296,0.074568,0.0047881,2.29E-05,63.633,75.835,0.013762,-1.861318446,6
0.00016237,0.00020154,0.00049212,0.00020662,7.47E-05,-186.17,173.61,0.0073884,-2.1314496,20
0.0016745,0.00081829,0.0053123,0.00055252,2.46E-05,-101.73,98.24,0.010781,-1.967340954,15
0.00096495,0.00065281,0.0022213,0.00054051,0.00014679,-403.5,131.1,0.015474,-1.810397407,16
0.097579,0.040365,0.12458,0.02351,0.00063252,-222.46,48.835,0.011447,-1.941308317,2
0.00082537,0.00044404,0.000012458,0.00018896,8.35E-08,-88.976,-43.397,0.0060249,-2.220050157,11
0.0057457,0.022926,0.0081467,0.03312,0.027344,-127.28,220.45,0.012684,-1.896743767,2
5.77E-05,6.69E-05,3.42E-08,2.75E-05,2.16E-09,-103.43,-96.449,0.0054858,-2.26076003,19
1.47E-13,3.67E-06,6.91E-31,9.38E-05,0.0021869,36.977,422.65,0.0086251,-2.064235861,9
0.000138,0.0011195,0.00008554,0.0018845,0.0019793,-83.138,234.51,0.014999,-1.823937695,9
0.0015944,0.00064695,0.0042568,0.00039461,7.78E-06,-56.781,81.092,0.0034881,-2.457411073,10
0.00005938,0.0004184,0.000045239,0.00069133,0.00073085,-99.464,234.32,0.015506,-1.80950022,15
0.00045618,0.00035597,2.1238E-06,0.00014949,3.47E-08,-119.93,-74.942,0.011574,-1.936516522,14
2.62E-20,6.32E-06,0.00E+00,0.00017083,0.0030785,249.38,343.24,0.014999,-1.823937695,16
4.19E-07,6.92E-07,6.11E-09,3.31E-07,1.79E-10,-432.45,-188.6,9.51E-05,-4.021687069,14
0.00027956,0.00011802,0.00085362,7.36E-05,1.60E-06,-47.994,86.583,0.00076104,-3.118592516,11
0.000082395,0.00010278,3.6719E-07,4.49E-05,1.00E-08,-222.64,-123.41,0.0073567,-2.133316954,15
0.0056924,0.0038514,0.024771,0.0029724,0.00022292,-66.393,124.87,0.014808,-1.829503594,8
0.000017271,0.00040714,5.3986E-06,0.0011628,0.0046684,-267,329.72,0.0065639,-2.182838044,5
0.31921,0.13532,0.10394,0.066743,0.00036791,-203.73,-7.1211,0.01205,-1.919012953,1
7.07E-05,4.95E-05,2.03E-07,2.04E-05,3.66E-09,-76.934,-62.3,0.0017757,-2.750630405,16
0.0004863,0.00023695,0.0010497,0.00015959,1.13E-05,-239.21,87.064,0.0042491,-2.371703048,16
0.00034244,0.00026793,0.0015843,0.00021653,1.84E-05,-48.369,132.89,0.0023465,-2.629579441,12
0.00031019,0.0011348,3.9036E-07,0.00054811,4.52E-08,-359.8,-224.83,0.015126,-1.820275904,3
0.00061222,0.00026654,0.00076647,0.00015861,5.83E-06,-284.97,46.389,0.0074201,-2.129590242,19
0.0009594,0.00049801,0.000018234,0.00021315,1.08E-07,-90.436,-40.265,0.013825,-1.85933486,16
0.00086207,0.014304,0.00018485,0.027999,0.038093,-57.263,248.03,0.011669,-1.93296636,2
0.0039632,0.0014828,0.0021214,0.00075255,4.89E-06,-140.05,19.682,0.010528,-1.977654124,10
0.00028629,0.00033968,0.00070139,0.00036884,0.00024314,-378.02,192.61,0.0026636,-2.574530994,8
0.0011445,0.0004993,0.00045,0.00025208,1.95E-06,-244.79,-7.8168,0.011891,-1.924781621,16
0.0039259,0.0014526,0.0009984,0.00069151,1.96E-06,-98.754,6.9055,0.0038052,-2.419622512,6
0.0001939,0.00057013,0.00035952,0.00076038,0.00053176,-142.35,211.04,0.013952,-1.855363532,14
0.0015043,0.0015107,0.007519,0.0012882,0.00010696,-2.22E-15,141.42,0.01094,-1.960982678,11
0.00029734,0.00020899,0.000037814,0.00010166,3.96E-07,-413.39,-95.439,0.012906,-1.889208339,17
2.50E-15,3.45E-06,8.52E-32,0.00030604,0.0096637,-41.794,531.1,0.01335,-1.874518734,2
0.0010313,0.00048081,0.0048375,0.00031192,6.21E-06,8.628,98.618,0.0077055,-2.113199175,18
0.000042349,0.0032636,2.4077E-11,0.0056312,0.0019542,146.01,208.52,0.0093544,-2.028984063,5
0.03741,0.015616,0.0063407,0.0073058,1.82E-05,-140.88,-12.326,0.01224,-1.912218582,3
4.24E-08,1.23E-06,2.07E-13,6.85E-07,1.87E-12,-300,-300,0.0030441,-2.516541085,16
0.0013765,0.00053483,0.0008055,0.00027603,2.34E-06,-174.77,17.924,0.0032344,-2.490206272,9
1.70E-04,7.53E-05,8.15E-04,4.76E-05,7.31E-07,25.622,95.622,0.0013001,-2.886023242,19
0.000037077,0.00013849,2.9458E-09,6.13E-05,1.34E-09,-186.17,-173.61,0.007103,-2.148558185,8
0.0044795,0.0035048,0.020724,0.0028324,0.00024044,-48.369,132.89,0.0076738,-2.114989524,6
0.00080509,0.00043368,0.0014688,0.0003085,4.30E-05,-414.99,88.209,0.0045662,-2.34044507,11
9.14E-06,3.90E-05,1.25E-05,6.47E-05,0.00010106,-265.73,256,0.001205,-2.919012953,12
0.0021914,0.0007704,0.0019003,0.00040467,3.05E-06,-90.436,40.265,0.0091958,-2.036410483,14
0.0084725,0.0039573,0.016603,0.002583,0.00015442,-242.1,78.663,0.0069444,-2.158365272,5
0.00040627,0.00015149,0.00023455,7.74E-05,5.39E-07,-139.68,22.123,0.0042491,-2.371703048,20
0.00022848,0.00014146,0.00049481,0.00011106,2.43E-05,-407.83,116.94,0.0050736,-2.294683775,20
0.0003105,0.0032913,0.000012347,0.0043287,0.00088612,107.42,187.93,0.013604,-1.866333377,7
0.0014659,0.00051776,0.00077459,0.00025982,1.30E-06,-95.622,25.622,0.01094,-1.960982678,18
0.0018619,0.00092883,0.0042009,0.00063572,4.90E-05,-237.65,91.226,0.01465,-1.834162375,15
0.0010196,0.00043143,0.00015602,0.00020073,4.62E-07,-140.65,-14.783,0.015316,-1.814854642,20
0.0097612,0.011582,0.023914,0.012576,0.0082901,-378.02,192.61,0.0056761,-2.245949962,2
0.00082011,0.00054747,0.00016201,0.00027545,1.91E-06,-479.3,-91.818,0.0028539,-2.544561249,5
0.0024691,0.0010491,0.007694,0.0006567,1.45E-05,-46.475,87.407,0.012557,-1.901114106,15
0.0026955,0.001259,0.0052822,0.00082177,4.91E-05,-242.1,78.663,0.014935,-1.825794773,13
0.25721,0.095655,0.15988,0.049233,0.00036672,-139.27,24.558,0.0066273,-2.17866337,1
4.91E-12,7.07E-07,9.03E-20,1.05E-05,0.00017766,-51.705,421.1,0.0038052,-2.419622512,20
0.019011,0.0095754,0.060758,0.0065712,0.00033283,-110.82,100.93,0.0022831,-2.641475066,2
0.21455,0.08932,0.018831,0.040242,5.36E-05,-97.776,-15.486,0.0076738,-2.114989524,1
1.7944E-06,0.00013829,1.0202E-12,0.00023861,8.28E-05,146.01,208.52,0.0040589,-2.391591648,16
2.14E-04,7.95E-05,1.54E-04,4.15E-05,3.53E-07,-138.33,29.403,0.001744,-2.758453519,18
1.98E-06,3.91E-05,7.37E-07,0.00010665,0.00040276,-272.71,325.01,0.0092275,-2.034915946,20
1.39E-08,8.23E-05,7.18E-17,0.00041164,0.001986,62.729,307.12,0.013762,-1.861318446,14
0.0006097,0.00025737,0.0028612,0.00015918,1.98E-06,35.477,92.42,0.0014587,-2.836034017,11
1.2544E-06,0.00015512,1.5595E-10,0.00035522,0.00039134,78.663,242.1,0.012589,-1.900008766,20
0.15573,0.089039,0.60016,0.064522,0.0038834,-85.109,112.94,0.0052638,-2.27870062,1
2.98E-05,2.21E-05,3.19E-06,1.07E-05,3.49E-08,-411.66,-102.64,0.0016489,-2.782805682,18
0.000054372,0.00049993,7.4159E-06,0.00067956,0.00019309,75.309,193.98,0.013413,-1.872474075,17
