Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Log
0.0064978,-4.37446732,0.0030328,-5.036312457,0.056136,0.0019043,-5.44E+00,1.55E-05,11,0.090909091,2.08278537,100,100,-1.806847563
0.00047941,-6.638585823,0.00022376,-7.300435093,0.0041417,0.0001405,-7.70E+00,1.14E-06,10,0.1,2,100,100,-3.021687069
0.0043502,-4.722981552,0.0020304,-5.38483679,0.037582,0.0012749,-5.79E+00,1.04E-05,12,0.083333333,2.158362492,100,100,-1.905528871
0.00044745,-6.698510975,0.00020884,-7.360372631,0.0038656,0.00013113,-7.76E+00,1.07E-06,5,0.2,1.397940009,100,100,-3.653705718
0.0053694,-4.540148483,0.0025061,-5.202003207,0.046387,0.0015736,-5.61E+00,1.28E-05,10,0.1,2,100,100,-1.972487308
0.0023651,-5.252300984,0.0011039,-5.914140533,0.020432,0.00069312,-6.32E+00,5.64E-06,5,0.2,1.397940009,100,100,-2.930590929
0.0037668,-4.848054877,0.0017581,-5.509912852,0.032542,0.0011039,-5.91E+00,8.98E-06,14,0.071428571,2.292256071,100,100,-1.834162375
0.0081874,-4.173707983,0.0038214,-4.835555001,0.070733,0.0023994,-5.24E+00,1.95E-05,9,0.111111111,1.908485019,100,100,-1.880744111
9.23E-05,-8.069596598,4.31E-05,-8.73104546,0.00079766,2.71E-05,-9.13E+00,2.20E-07,15,0.066666667,2.352182518,100,100,-3.384860406
0.0073379,-4.268856422,0.0034249,-4.930704209,0.063393,0.0021505,-5.33E+00,1.75E-05,7,0.142857143,1.69019608,100,100,-2.146624283
0.012562,-3.801882422,0.0058633,-4.463715769,0.10853,0.0036815,-4.87E+00,3.00E-05,6,0.166666667,1.556302501,100,100,-2.047018774
0.0017858,-5.496334363,0.0008335,-6.158188792,0.015428,0.00052335,-6.56E+00,4.26E-06,20,0.05,2.602059991,100,100,-1.848507572
0.03246,-2.977302969,0.01515,-3.639174734,0.28043,0.0095128,-4.04E+00,7.74E-05,4,0.25,1.204119983,100,100,-1.986909862
0.00029306,-7.066086909,0.00013678,-7.727954801,0.0025318,8.59E-05,-8.13E+00,6.99E-07,17,0.058823529,2.460897843,100,100,-2.774535641
0.0037994,-4.840569963,0.0017733,-5.502435572,0.032824,0.0011135,-5.91E+00,9.06E-06,14,0.071428571,2.292256071,100,100,-1.830413727
0.0020293,-5.385307489,0.00094717,-6.047144132,0.017532,0.00059472,-6.45E+00,4.84E-06,17,0.058823529,2.460897843,100,100,-1.934158966
0.029475,-3.061092372,0.013757,-3.722952525,0.25464,0.0086379,-4.13E+00,7.03E-05,3,0.333333333,0.954242509,100,100,-2.27870062
0.0031763,-4.996156971,0.0014825,-5.658010596,0.027441,0.00093086,-6.06E+00,7.57E-06,9,0.111111111,1.908485019,100,100,-2.291978733
0.0055768,-4.507229861,0.0026029,-5.169085033,0.048179,0.0016343,-5.57E+00,1.33E-05,7,0.142857143,1.69019608,100,100,-2.265808449
0.0024719,-5.213938205,0.0011538,-5.875738931,0.021356,0.00072444,-6.28E+00,5.89E-06,8,0.125,1.806179974,100,100,-2.50316718
0.00077537,-6.220982013,0.0003619,-6.882822834,0.0066986,0.00022723,-7.29E+00,1.85E-06,13,0.076923077,2.227886705,100,100,-2.584993246
0.0023773,-5.247832019,0.0011096,-5.909667104,0.020538,0.0006967,-6.31E+00,5.67E-06,18,0.055555556,2.51054501,100,100,-1.815762971
0.001567,-5.609862007,0.0007314,-6.271690088,0.013538,0.00045924,-6.68E+00,3.74E-06,19,0.052631579,2.557507202,100,100,-1.94981365
0.0055487,-4.511617511,0.0025898,-5.173467547,0.047936,0.0016261,-5.58E+00,1.32E-05,12,0.083333333,2.158362492,100,100,-1.799833754
0.015085,-3.642909371,0.0070409,-4.304743648,0.13033,0.004421,-4.71E+00,3.60E-05,5,0.2,1.397940009,100,100,-2.125895237
0.0011393,-5.886723805,0.00053177,-6.548552334,0.0098429,0.0003339,-6.95E+00,2.72E-06,18,0.055555556,2.51054501,100,100,-2.135192371
0.036055,-2.886069,0.016828,-3.547934993,0.31149,0.010567,-3.95E+00,8.60E-05,4,0.25,1.204119983,100,100,-1.941308317
0.00085435,-6.136728352,0.00039876,-6.798576825,0.0073809,0.00025038,-7.20E+00,2.04E-06,19,0.052631579,2.557507202,100,100,-2.213248578
0.0036878,-4.86646528,0.0017212,-5.528337325,0.031859,0.0010807,-5.93E+00,8.79E-06,13,0.076923077,2.227886705,100,100,-1.907735639
0.0012926,-5.777071697,0.0006033,-6.438933349,0.011167,0.00037881,-6.84E+00,3.08E-06,19,0.052631579,2.557507202,100,100,-2.033421845
