Receptor_measurement1,,Receptor_measurement2,,Receptor_measurement4,,Receptor_measurement5,,wind speed log,Wind_speed,,Source_Location_X,,Source_Location_Y,
0.0099623,-2.001640384,0.0031167,-2.506304999,0.0016693,-2.78E+00,5.78E-06,-5.24E+00,8.45E-01,7,1.84509804,70,1.84509804,70,-2.172469189
1.65E-05,-4.782516056,0.00040443,-3.393156637,0.0005203,-3.28E+00,5.20E-05,-4.28E+00,1.23E+00,17,2.255272505,180,2.255272505,180,-2.070673052
0.025952,-1.585829167,0.012113,-1.916748283,0.0076055,-2.12E+00,6.19E-05,-4.21E+00,6.99E-01,5,2,100,2,100,-1.890286495
6.76E-21,-20.1700533,1.89E-05,-4.723538196,0.00028198,-3.55E+00,0.0018911,-2.72E+00,1.04E+00,11,2.477121255,300,2.477121255,300,-2.26076003
2.34E-05,-4.630784143,0.0016253,-2.789066465,0.0032952,-2.48E+00,0.002685,-2.57E+00,8.45E-01,7,1.913813852,82,2.36361198,231,-1.87972228
0.23256,-0.633464981,0.072756,-1.138131186,0.038969,-1.41E+00,0.00013484,-3.87E+00,0.00E+00,1,1.84509804,70,1.84509804,70,-2.49448374
1.48E-05,-4.829738285,0.00036344,-3.439567276,0.00046756,-3.33E+00,4.67E-05,-4.33E+00,1.08E+00,12,2.255272505,180,2.255272505,180,-2.419622512
0.0043049,-2.366036932,0.0020093,-2.696955216,0.0012616,-2.90E+00,1.03E-05,-4.99E+00,8.45E-01,7,2,100,2,100,-2.378231902
1.31E-20,-19.8827287,3.68E-05,-4.434152181,0.00054766,-3.26E+00,0.0036728,-2.44E+00,1.04E+00,11,2.477121255,300,2.477121255,300,-1.972487308
3.70E-09,-8.431798276,6.40E-05,-4.193820026,0.0001057,-3.98E+00,4.75E-06,-5.32E+00,1.30E+00,20,2.480006943,302,2.271841607,187,-2.692632344
0.0056286,-2.249599614,0.0017609,-2.754265307,0.00094313,-3.03E+00,3.26E-06,-5.49E+00,7.78E-01,6,1.84509804,70,1.84509804,70,-2.554317973
2.22E-05,-4.653647026,0.00054273,-3.265416172,0.00069822,-3.16E+00,6.98E-05,-4.16E+00,1.18E+00,15,2.255272505,180,2.255272505,180,-2.051650618
0.027166,-1.565974304,0.01268,-1.896880746,0.0079615,-2.10E+00,6.48E-05,-4.19E+00,6.99E-01,5,2,100,2,100,-1.870406772
1.75E-20,-19.75696195,4.90E-05,-4.30980392,0.00072973,-3.14E+00,0.0048938,-2.31E+00,1.00E+00,10,2.477121255,300,2.477121255,300,-1.930590929
1.74E-92,-91.75945075,2.32E-06,-5.634512015,0.0019796,-2.70E+00,0.222,-6.54E-01,3.01E-01,2,2.598790507,397,2.588831726,388,-1.853375911
0.16061,-0.794227418,0.050245,-1.298907149,0.026911,-1.57E+00,9.31E-05,-4.03E+00,3.01E-01,2,1.84509804,70,1.84509804,70,-2.053203973
6.50E-05,-4.187086643,0.0015919,-2.798084217,0.0020479,-2.69E+00,0.00020471,-3.69E+00,1.00E+00,10,2.255272505,180,2.255272505,180,-1.936516522
0.00033177,-3.479162887,0.00015485,-3.81008879,9.72E-05,-4.01E+00,7.91E-07,-6.10E+00,1.23E+00,17,2,100,2,100,-2.720652508
1.44E-19,-18.84163751,0.00040312,-3.394565655,0.006003,-2.22E+00,0.040258,-1.40E+00,6.02E-01,4,2.477121255,300,2.477121255,300,-1.811268329
0.00052135,-3.282870622,0.016933,-1.771266092,0.012204,-1.91E+00,3.47E-06,-5.46E+00,6.99E-01,5,2.542825427,349,2.100370545,126,-1.889208339
0.002648,-2.577082019,0.00082841,-3.081754667,0.0004437,-3.35E+00,1.54E-06,-5.81E+00,1.30E+00,20,1.84509804,70,1.84509804,70,-1.836034017
2.72E-05,-4.565431096,0.00066727,-3.1756984,0.00085844,-3.07E+00,8.58E-05,-4.07E+00,1.00E+00,10,2.255272505,180,2.255272505,180,-2.314115013
0.0022258,-2.652513862,0.0010389,-2.983426254,0.00065231,-3.19E+00,5.31E-06,-5.27E+00,1.15E+00,14,2,100,2,100,-2.062642616
8.09E-21,-20.09205148,2.26E-05,-4.645891561,0.00033725,-3.47E+00,0.0022617,-2.65E+00,1.00E+00,10,2.477121255,300,2.477121255,300,-2.265808449
0.00052582,-3.279162899,0.00012816,-3.892247501,6.20E-05,-4.21E+00,1.35E-08,-7.87E+00,1.00E+00,10,2.36361198,231,1.875061263,75,-3.384860406
0.14622,-0.83499322,0.045743,-1.339675356,0.0245,-1.61E+00,8.48E-05,-4.07E+00,3.01E-01,2,1.84509804,70,1.84509804,70,-2.093972198
2.09E-05,-4.679853714,0.00051285,-3.29000964,0.00065978,-3.18E+00,6.60E-05,-4.18E+00,1.26E+00,18,2.255272505,180,2.255272505,180,-1.917897116
0.12664,-0.897429098,0.059109,-1.228346388,0.037115,-1.43E+00,0.00030194,-3.52E+00,3.01E-01,2,2,100,2,100,-1.99774752
8.54E-21,-20.06854213,2.39E-05,-4.621602099,0.00035594,-3.45E+00,0.002387,-2.62E+00,1.11E+00,13,2.477121255,300,2.477121255,300,-2.014506164
6.22E-09,-8.206209615,0.00052347,-3.281108203,0.0021772,-2.66E+00,0.0042938,-2.37E+00,4.77E-01,3,2.271841607,187,2.423245874,265,-2.706416487
0.0028603,-2.543588414,0.00089484,-3.048254611,0.00047928,-3.32E+00,1.66E-06,-5.78E+00,1.23E+00,17,1.84509804,70,1.84509804,70,-1.943705113
3.05E-05,-4.515700161,0.00074841,-3.125860418,0.00096283,-3.02E+00,9.62E-05,-4.02E+00,9.54E-01,9,2.255272505,180,2.255272505,180,-2.355787972
0.009233,-2.034657164,0.0043094,-2.365583193,0.0027059,-2.57E+00,2.20E-05,-4.66E+00,4.77E-01,3,2,100,2,100,-2.782805682
7.84E-21,-20.10568394,2.20E-05,-4.657577319,0.00032703,-3.49E+00,0.0021932,-2.66E+00,1.15E+00,14,2.477121255,300,2.477121255,300,-1.986909862
4.00E-71,-70.39794001,2.12E-07,-6.673664139,5.43E-05,-4.27E+00,0.0033323,-2.48E+00,1.23E+00,17,2.588831726,388,2.557507202,361,-1.930590929
